Date,Sentiment_HuggingFace,Sentiment_TextBolb,Sentiment_Classifier
2025-01-25,-0.1111111111111111,0.03796184667861232,-1.0
2025-01-26,0.0,0.0,0.0
2025-01-27,-0.20833333333333334,0.05133032448032096,-1.0
2025-01-28,-0.29292929292929293,0.0342673403348434,-1.0
2025-01-29,-0.0851063829787234,0.03959277958854007,-1.0
2025-01-30,-0.3263157894736842,0.03810135912941307,-1.0
2025-01-31,-0.3125,0.016668293436812375,-1.0
2025-02-01,0.030927835051546393,0.025430500266354517,-1.0
2025-02-02,-0.30526315789473685,0.020633465204680655,-0.9894736842105263
2025-02-03,0.0,0.0,0.0
